task_id	episode_idx	outcome	media	bytes	sha256
WTRAY_003	0	failure	assets/dset_wooden_tray7/videos/WTRAY_003/WTRAY_003_ep000_fail.mp4	286823	47e8fdc823f4e3d6d8d22200329225d805c6b70f881a09e279d3c8b3b7da658c
WTRAY_003	1	failure	assets/dset_wooden_tray7/videos/WTRAY_003/WTRAY_003_ep001_fail.mp4	374998	df42d60b7461c1ca96518cde6591bc055ab1a73b68e8e3368a33cbdb606b95b2
WTRAY_003	2	failure	assets/dset_wooden_tray7/videos/WTRAY_003/WTRAY_003_ep002_fail.mp4	336385	54c9bfba15fd252085750a5c4114252d3fcf251286f6ac1b39bfa98689aba459
WTRAY_003	3	failure	assets/dset_wooden_tray7/videos/WTRAY_003/WTRAY_003_ep003_fail.mp4	294597	cbda4250ab8cc889aabb1ed81912be7b635f54e905d3156bc2a487aa9bc3d80b
WTRAY_003	4	failure	assets/dset_wooden_tray7/videos/WTRAY_003/WTRAY_003_ep004_fail.mp4	270326	258a51018233fe522ec00dbc1c98cc7ad2164cb107a37538d85d967c02043fec
WTRAY_004	0	failure	assets/dset_wooden_tray7/videos/WTRAY_004/WTRAY_004_ep000_fail.mp4	385661	f8ad0031fc78052b2cb18f8431f55edc4605ca8b859c1dce0016047c4aef979b
WTRAY_004	1	failure	assets/dset_wooden_tray7/videos/WTRAY_004/WTRAY_004_ep001_fail.mp4	383465	1fde9f12717ef902a2d61c34e9e013ecbb4813b0652a454c55a0e3c3c596bbd2
WTRAY_004	2	success	assets/dset_wooden_tray7/videos/WTRAY_004/WTRAY_004_ep002_ok.mp4	273349	1be9423f00a74400c392dc5168cb4673510905c7561a0548a673713686747eb9
WTRAY_004	3	failure	assets/dset_wooden_tray7/videos/WTRAY_004/WTRAY_004_ep003_fail.mp4	363524	078e95b9915e1b34eee6bb4998cd9b8a27453190958c8a184756c396f83ae74e
WTRAY_004	4	success	assets/dset_wooden_tray7/videos/WTRAY_004/WTRAY_004_ep004_ok.mp4	345964	11ff2b60f97f8497cf282beb7fa64f2aad67107a9a0a25efebac74784e70291e
WTRAY_005	0	failure	assets/dset_wooden_tray7/videos/WTRAY_005/WTRAY_005_ep000_fail.mp4	309866	7e4948af3ba168f47b46b34dbb9765c4fe9a160ce63fe562fd5d6e05ed3f1ba9
WTRAY_005	1	failure	assets/dset_wooden_tray7/videos/WTRAY_005/WTRAY_005_ep001_fail.mp4	273699	e3a31a68009b331853abaea47426b1f414e4de000eaa413fb7e1c9b590b00ba5
WTRAY_005	2	failure	assets/dset_wooden_tray7/videos/WTRAY_005/WTRAY_005_ep002_fail.mp4	289530	ce15145d102ee08a60902151014a37797b9a3bb26a6a2cab596d0206ddbfb1e5
WTRAY_005	3	failure	assets/dset_wooden_tray7/videos/WTRAY_005/WTRAY_005_ep003_fail.mp4	263601	363d9017c3e5ad398a3e4276c3405854597a3f97a454ca6afe35393ba7481862
WTRAY_005	4	failure	assets/dset_wooden_tray7/videos/WTRAY_005/WTRAY_005_ep004_fail.mp4	289999	cd1e0110dfc37ea8697b892a5507ca7fa684feb0465e85f5d8430a972292b3de
WTRAY_006	0	failure	assets/dset_wooden_tray7/videos/WTRAY_006/WTRAY_006_ep000_fail.mp4	312489	8951b1e96f18cc828bd4a8d4f413bbdd70b260d3f57a103ec47e160dc301f10e
WTRAY_006	1	failure	assets/dset_wooden_tray7/videos/WTRAY_006/WTRAY_006_ep001_fail.mp4	253761	6040007aa5408f15491af06c62a17eb0593c63644c9ce693b0793cb3af12ffd4
WTRAY_006	2	failure	assets/dset_wooden_tray7/videos/WTRAY_006/WTRAY_006_ep002_fail.mp4	291138	b6691751d152697ead3ed720df85d724c6b73e8e1f0600c26073efd20eeffa64
WTRAY_006	3	failure	assets/dset_wooden_tray7/videos/WTRAY_006/WTRAY_006_ep003_fail.mp4	269921	132669f444fc16ca7ebc1d54dc9d9fe8e2db459e80c0fdddfe4c060245cbe5b0
WTRAY_006	4	failure	assets/dset_wooden_tray7/videos/WTRAY_006/WTRAY_006_ep004_fail.mp4	298513	47b29f3abbd664fc6dca00762861f316a7e3aa31360e40ee25db6c05e130724e
